species,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,2,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
d_Viruses,4,0,0,0,0,0,0,0
